text,sentiment,text_length,clean_text
@smith1230 Congrats on Baby. R u excited? Now that's a DUMB question.  Good Luck!,positive,81,congrats on baby r u excited now thats a dumb question good luck
@ashleyrae92 Thankyou! ,positive,23,thankyou
@CelineVillonco really! yayyy! i'm with gica and leica. awww. we aren't classmates though. ,negative,91,really yayyy im with gica and leica a we arent classmates though
"@ReineM Old spice, Bay Rum, Clubman, &amp; Ichabod Conk's amber, I use all of them ",positive,83,old spice bay rum clubman amp ichabod conks amber i use all of them
Yay Home... and rocking Google Latitude! I finally got Live Tracking going ,positive,75,yay home and rocking google latitude i finally got live tracking going
eurgh. stupid doctor gone on leave till 13th July - I was hoping to get a scrip faxed thru cause i lost my old one ,negative,115,eurgh stupid doctor gone on leave till th july i was hoping to get a scrip faxed thru cause i lost my old one
"@i_am_TC k, and you have fun with what you're doing too ",positive,56,k and you have fun with what youre doing too
@newmormonpresid I admittedly did not. I'm prone t judging books by their covers ,positive,81,i admittedly did not im prone t judging books by their covers
"@cathy_cochina40 sure is  far out, I rkn, ive never seen so much hate for Jon... like ever.",positive,91,sure is far out i rkn ive never seen so much hate for jon like ever
I Hope Joe Is Kidding About Wanting Me To Work 4-1 This Weekend!   ??,negative,69,i hope joe is kidding about wanting me to work this weekend
@ home getting ready for work then that math final. Good morning to all my twit heads... Have a wonderful and productive day/week! ,positive,131,home getting ready for work then that math final good morning to all my twit heads have a wonderful and productive dayweek
Ugh. Boys! They seriously suck. ,negative,32,ugh boys they seriously suck
"@guiltfeeder Do not question me. Do it, plz? +18664365701/03/05/07. ",positive,68,do not question me do it plz
flat tyre...had to walk back home ,negative,34,flat tyrehad to walk back home
"@rikharvin Touch̩! Good for you, brave one ",positive,44,touch good for you brave one
"@JenaIsle I like to comment, but it's technical for me, pwede bang 'Great Post!' ? ",positive,83,i like to comment but its technical for me pwede bang great post
workin a full day  how gross.,negative,29,workin a full day how gross
Tweetdeck - everything you need  http://bit.ly/7Xtk8 (via @AndrewCasselton) -  I'm obviously a B lister - hence hardly get any replies ,negative,135,tweetdeck everything you need via im obviously a b lister hence hardly get any replies
"i think i am going to cry  happy tears tho, but sad too.",negative,56,i think i am going to cry happy tears tho but sad too
off to play counter strike to get some stress out ,negative,50,off to play counter strike to get some stress out
"At my mothers (:Watching I Dream of Genie, it's alright :Lgoing home soon  Should still be sleeping haha This laptops crap, I want mine ",positive,136,at my mothers watching i dream of genie its alright lgoing home soon should still be sleeping haha this laptops crap i want mine
@mattsergent I like your pic  I wonder if Brian had something to do with that mess lol and I wonder if you also contributed to the mess :p,positive,138,i like your pic i wonder if brian had something to do with that mess lol and i wonder if you also contributed to the mess p
Just found out I have to work tomorrow too!!!!!! ,negative,49,just found out i have to work tomorrow too
@poi2poi cygwin + PuTTY - lots_of_stuff_you_don't_need_with_Cygwin + a_few_extra_features = http://mintty.googlecode.com ,positive,121,cygwin putty lotsofstuffyoudontneedwithcygwin afewextrafeatures
Is off to try and sleep off this very nasty headache ,negative,53,is off to try and sleep off this very nasty headache
"I really want to go to the flight of the conchords concert next month, but tickets have been sold out for a while ",negative,114,i really want to go to the flight of the conchords concert next month but tickets have been sold out for a while
@Casta_Diva Ughh I always try to do that but I look like a damn clown afterwards lmaoo I'm horrible with that girly girly crap ,negative,127,ughh i always try to do that but i look like a damn clown afterwards lmaoo im horrible with that girly girly crap
@andijonas2009 very pretty pic...i'm sooo jealous...i'm not going anywhere good this summer! ,negative,93,very pretty picim sooo jealousim not going anywhere good this summer
@HeatherShea auwh  where is bf at tonight?,negative,42,auwh where is bf at tonight
Morning! had a great day. meet a new manager. She is sweet and nice.  my old jerk manager is gone forever!,positive,106,morning had a great day meet a new manager she is sweet and nice my old jerk manager is gone forever
I have to work 10:30-6 tomorrow.  RRRRRRGH,negative,42,i have to work tomorrow rrrrrrgh
asking questions and getting answers in stackoverflow.com is like taking help from a colleague sitting next to you. It's so fast! ,positive,130,asking questions and getting answers in stackoverflowcom is like taking help from a colleague sitting next to you its so fast
@SamanthaCallend Lol don't trip we gone have a ball of fun on yo bday...nuffin but alcohol for u.. n alcohol n shones for me ,positive,125,lol dont trip we gone have a ball of fun on yo bdaynuffin but alcohol for u n alcohol n shones for me
"@erratic0101 I really wanna record &quot;I'm on a broom&quot;.. but someone did it before me, and I can't find their lyrics, or who they are.. ",negative,143,i really wanna record quotim on a broomquot but someone did it before me and i cant find their lyrics or who they are
@dbdc I don't know how u do the night shift ,negative,44,i dont know how u do the night shift
@MsBchik cuz I couldn't sleep and all of yall nigs were passed the hell out! Noooo one to keep me company ,negative,106,cuz i couldnt sleep and all of yall nigs were passed the hell out noooo one to keep me company
http://invisiblecities.comicgenesis.com/story.html this fascinates me. ,positive,71,this fascinates me
@Digital_Girl well something thaz quick please ,positive,47,well something thaz quick please
@lorilynnboyd= not a real follwer ,negative,34,not a real follwer
@eliasred you are such an emo &amp; I luv you still ,positive,52,you are such an emo amp i luv you still
@MamaCiataa_ lmao yuppers..ahahaha. ummm 4m california city applevalley  yay!Hahahah!,positive,85,lmao yuppersahahaha ummm m california city applevalley yayhahahah
hello? we got school tomoz  i so dont want to go,negative,48,hello we got school tomoz i so dont want to go
iPhone 3.0 doesn't searches your SMS   http://twitpic.com/7po5w,negative,63,iphone doesnt searches your sms
@toshi0104 you started it.  #spymaster,positive,38,you started it spymaster
I'm currently trying to use twitter ,positive,36,im currently trying to use twitter
"UPS had an &quot;exception&quot; with my package of components for the Gristlelizer, so I won't get 'em until tomorrow. No soldering tonight.  ",negative,143,ups had an quotexceptionquot with my package of components for the gristlelizer so i wont get em until tomorrow no soldering tonight
Just had a late lunch along I-44. What a beautiful country God created for us!!!   ,positive,83,just had a late lunch along i what a beautiful country god created for us
"Taking my boy out for the afternoon, whilst the sun shines &amp; before the english depression hits i.e. the grey weather  have fun guys  ...",negative,141,taking my boy out for the afternoon whilst the sun shines amp before the english depression hits ie the grey weather have fun guys
Chad Cherry was molested at the Neverland Ranch. hahahaaah!!! poor thing. ,positive,74,chad cherry was molested at the neverland ranch hahahaaah poor thing
"@lewisbostock Failed miserably on the 1st day of diet. Good start weetbix, then butter chicken for lunch and casserole &amp; bread for tea ",negative,139,failed miserably on the st day of diet good start weetbix then butter chicken for lunch and casserole amp bread for tea
movie then bed. cant believe he's still mad at me ,negative,50,movie then bed cant believe hes still mad at me
i think my LV&amp;TT is missing a picture in the booklet ,negative,57,i think my lvamptt is missing a picture in the booklet
@kristencarta  I'm not over today but I am over this lame weather!,negative,66,im not over today but i am over this lame weather
@agagagaga well....guess who. haha. finally aku ngerti plurk juga haha makasih ya kak for teaching me ,positive,102,wellguess who haha finally aku ngerti plurk juga haha makasih ya kak for teaching me
fed up of being ill ,negative,20,fed up of being ill
i am so hungry ,negative,15,i am so hungry
"school was boring, and full of weirdos ",negative,39,school was boring and full of weirdos
"ood 40+ snapper, tarakihi, kingfish and porae. No marlin ",negative,57,ood snapper tarakihi kingfish and porae no marlin
"@only_erin well, after i eat and get ready I'll be down, so whenever. ",positive,70,well after i eat and get ready ill be down so whenever
i will never eat a mcdonalds breakfast mcskillet ever again.. i've been mcnauseous all day ,negative,91,i will never eat a mcdonalds breakfast mcskillet ever again ive been mcnauseous all day
Unfortunately Twitter wont let me use Twitter in my URL  So OTHBugs it is!,negative,74,unfortunately twitter wont let me use twitter in my url so othbugs it is
"Was thinking of picking up an unlocked Palm Pre in China, then I found out it won't work on UK networks ",negative,104,was thinking of picking up an unlocked palm pre in china then i found out it wont work on uk networks
#Fact Im not Going To Work Today (I Hate My Job) ,negative,49,fact im not going to work today i hate my job
I hate traffic!! ,negative,17,i hate traffic
AWESOME AWESOME AWESOME giveaway at http://bit.ly/qjb2A  ,positive,57,awesome awesome awesome giveaway at
@Chloexoxoxox I would of congratulated you to last night bt i just went to bed and died lol congratulations ,positive,108,i would of congratulated you to last night bt i just went to bed and died lol congratulations
@_DeanWinchester megadeth!!!!!  Love ya more than ever now  ,positive,60,megadeth love ya more than ever now
is working now ,negative,15,is working now
Was suppose to sleep in but too many things on my mind to do ,negative,61,was suppose to sleep in but too many things on my mind to do
~ANNOYED that my pic won't upload...and nooooo it's not too big!! ,negative,66,annoyed that my pic wont uploadand nooooo its not too big
going to watch Terminator tomorrow with Imogen ,positive,47,going to watch terminator tomorrow with imogen
My Fleshlight has PMT. Back to the wife then ,negative,45,my fleshlight has pmt back to the wife then
Today has been a good day ,positive,26,today has been a good day
omg strike gently leaked hello brooklyn ,negative,40,omg strike gently leaked hello brooklyn
@ether_radio sounds good. I hope you have a great day ,positive,54,sounds good i hope you have a great day
getting ready for work. I'll be there 5-10pm.  come see me.,negative,59,getting ready for work ill be there pm come see me
@christinaponi y wat happened????? temme may b i can make u feel btr...... ,positive,75,y wat happened temme may b i can make u feel btr
@BeeKhan you are too kind ,positive,26,you are too kind
@LATONYANICOLE good night latonyanicole! Happy sleeping-much love to ya babes ,positive,78,good night latonyanicole happy sleepingmuch love to ya babes
"@lauriegbuczek Yes, will do. I need to write several, actually. ",positive,64,yes will do i need to write several actually
i hate my car! ,negative,15,i hate my car
@vzofficial who judging your body..? ,negative,37,who judging your body
pretty stressful day. glad my project kicked some ass! woohoo!  ,positive,64,pretty stressful day glad my project kicked some ass woohoo
I just got tackled by twins. ,positive,29,i just got tackled by twins
 okay twitter friends.. I guess it was just my TV last night.    per @cocopostergurl @knauticus,negative,95,okay twitter friends i guess it was just my tv last night per
Just got to the part in little miss sunshine where dwayne finds out he's colorblind. ,negative,85,just got to the part in little miss sunshine where dwayne finds out hes colorblind
is crazy and fanatic about the Twilight saga! Cant wait for New Moon which will come out on my birthday woohoo! ,positive,112,is crazy and fanatic about the twilight saga cant wait for new moon which will come out on my birthday woohoo
Free monthly repatterning tonight also @ 5 PDT :  http://cli.gs/PPda2n u can proxy in if can't be there live ,positive,109,free monthly repatterning tonight also pdt u can proxy in if cant be there live
Just got on twitter ,positive,20,just got on twitter
i want something from the cheesecake factory ,negative,45,i want something from the cheesecake factory
@kerrenkate lol. i love Dougie and Tom. but the nice's McFLY guy is Danny!  im not saying that the other are'nt ! xxx,positive,117,lol i love dougie and tom but the nices mcfly guy is danny im not saying that the other arent xxx
@leopedraza sorry I will be missing it ,negative,39,sorry i will be missing it
@billdeys it's raining  I'm hiding.,negative,35,its raining im hiding
@countingcrows You don't look either happy or well  Hang in there hon &amp; good luck xxxxxx,negative,92,you dont look either happy or well hang in there hon amp good luck xxxxxx
@MsUnDeRStOoD456 morning mamacita...i have to work too..shit sucks ,negative,67,morning mamacitai have to work tooshit sucks
I am off to finish planting my garden....while my hubby is off playing at his mommy and daddy's....I love when I get so much help ,negative,130,i am off to finish planting my gardenwhile my hubby is off playing at his mommy and daddysi love when i get so much help
im backk...wow that took such a long time! :S lmaoo ,positive,52,im backkwow that took such a long time s lmaoo
"@dsthestar1121 Lol! Well it's Sunday right? Nice and chill... tryna get well rested for the coming week, cuz my weekend is almost over ",negative,135,lol well its sunday right nice and chill tryna get well rested for the coming week cuz my weekend is almost over
@CostaVidaFred awwwwww sorry we're going to miss you! ,negative,54,a sorry were going to miss you
"Evening, afternoon andgood day tweeples, lovely but weirdy day, spent most of the 1st half in bed, had almighty headache  in face  !",negative,132,evening afternoon andgood day tweeples lovely but weirdy day spent most of the st half in bed had almighty headache in face
"wishes @TraceCyrus was comin to Belfast, or would put on another date in Dublin ",negative,80,wishes was comin to belfast or would put on another date in dublin
@ahhhdy OMG I totally feel the same way. ,negative,41,omg i totally feel the same way
changed my pic and it's disapaired ,negative,35,changed my pic and its disapaired
"to the happy web-dev types down leith posting pics of the sun and sea, spare a thought for us poor saps enjoying lunch in 30 deg offices ",negative,137,to the happy webdev types down leith posting pics of the sun and sea spare a thought for us poor saps enjoying lunch in deg offices
Im finally home ,positive,16,im finally home
@CavaRocks sorry to hear about the loss of your PezPet ,negative,55,sorry to hear about the loss of your pezpet
"@krow272 Yeah, I hear you. Sadly, I don't have $42 to spend on a stuffed red robot. ",negative,84,yeah i hear you sadly i dont have to spend on a stuffed red robot
@Nathan_Dorian this sounds nice ,positive,32,this sounds nice
Doctor Who (including David Tennant!) will be at Comic-Con! Same time as the #Smallville panel  http://tinyurl.com/noqvx2 #doctorwho,negative,132,doctor who including david tennant will be at comiccon same time as the smallville panel doctorwho
Gettin married... One hour. ,positive,28,gettin married one hour
is sad... dont know why? ,negative,25,is sad dont know why
@alwaysjasmine awwww.... how come you didn't come? ,negative,51,a how come you didnt come
"What do you get if you cross a stressed dog, a poorly pup and a balding cat? Three vet bills in ten days ",negative,105,what do you get if you cross a stressed dog a poorly pup and a balding cat three vet bills in ten days
"@MissKatiePrice  Hey Katie, what a lovely weekend its been! weather wise! I hope your weekend has been good to ",positive,111,hey katie what a lovely weekend its been weather wise i hope your weekend has been good to
Bummed I'm going to miss the mtv awards ,negative,40,bummed im going to miss the mtv awards
@imcudi smacked for you man ,positive,28,smacked for you man
i want lunch ,negative,13,i want lunch
haha finally on Twitter ,positive,24,haha finally on twitter
Up and eating toast ,positive,20,up and eating toast
OMFGsh there is a dent in my guitar! I bet that happened when someone knocked it over or something. Agh I'm annoyed about that ,negative,127,omfgsh there is a dent in my guitar i bet that happened when someone knocked it over or something agh im annoyed about that
@8DDogs Poor Cody ,negative,18,poor cody
andy samberg is a hottie. ,positive,26,andy samberg is a hottie
@Mykale007 how are you? I am playing a movie game ,positive,50,how are you i am playing a movie game
"I'm away from home so much that my pillows, blankets, &amp; sheets don't even smell familiar anymore. This is weird. ",negative,117,im away from home so much that my pillows blankets amp sheets dont even smell familiar anymore this is weird
@auntiethesis thank you for entering the fancy fortune cookie giveaway &amp; tweeting ,positive,86,thank you for entering the fancy fortune cookie giveaway amp tweeting
"Love is like playing the piano. First you must learn to play by the rules, then you must forget the rules and play from your heart.. ",positive,133,love is like playing the piano first you must learn to play by the rules then you must forget the rules and play from your heart
Got sunburn and going for a nap ,positive,32,got sunburn and going for a nap
@NYCityMama cleaning and laundry today ,negative,39,cleaning and laundry today
"@mileycyrus sorry for your friend, you are a good person ",positive,57,sorry for your friend you are a good person
"trying to rest today, not feeling that great ",negative,45,trying to rest today not feeling that great
@mlydy OUCH - you really didn't need to leak that you photoshopped the shit out of my profile pic. That just hurt  *sniffle*,negative,124,ouch you really didnt need to leak that you photoshopped the shit out of my profile pic that just hurt sniffle
"@tavincg Well, I figured the lmao was about the print thing, so yea ",positive,68,well i figured the lmao was about the print thing so yea
"@jliedl Exactly! Plus, for a moment I thought the mower had been stolen from the shed... so all in all, a great relief! ",positive,120,exactly plus for a moment i thought the mower had been stolen from the shed so all in all a great relief
no va el link Twitter-facebook... ,negative,34,no va el link twitterfacebook
@shonjay  I'd often passed by that place...and well I guess u never know until you try them. I'm glad you enjoyed your Sushi.,positive,125,id often passed by that placeand well i guess u never know until you try them im glad you enjoyed your sushi
wishing I were eating sushi instead of in class today. Major craving + Class till 10 PM =  because I can't get sushi anywhere after class,negative,137,wishing i were eating sushi instead of in class today major craving class till pm because i cant get sushi anywhere after class
back...on...hold...not feeling the love for united airlines right now ,negative,70,backonholdnot feeling the love for united airlines right now
"i have to still read my notes. bye for now. joshstrike, please play jai ho for me. thanks  get well soon. have a good nite sleep ",positive,129,i have to still read my notes bye for now joshstrike please play jai ho for me thanks get well soon have a good nite sleep
good morning world and all who inhabit it! ,positive,43,good morning world and all who inhabit it
SayWhen: congradulations on your gradumacation bekkajones2009    we don't do this for everyone ya know...  see ya at warped tour July21,positive,135,saywhen congradulations on your gradumacation bekkajones we dont do this for everyone ya know see ya at warped tour july
dissapointed with mom's decision ,negative,33,dissapointed with moms decision
@Schultzie25 That sucks.  I feel for you. ,negative,42,that sucks i feel for you
"@evliving No, that's nothing to laugh about ",negative,44,no thats nothing to laugh about
goodnight ,positive,10,goodnight
gonna go put my drums in my car while the new Zune is syncing ,positive,62,gonna go put my drums in my car while the new zune is syncing
@peaceoutHelga aww how sad  why did he tell you on the last day of school?,negative,74,aww how sad why did he tell you on the last day of school
@maccast Thanks for the webcam info.  Checking them out.  ,positive,58,thanks for the webcam info checking them out
@slowdescent lol at the Scooby Doo reference. Well I'm right here so  Suzaku is cool again? :O,positive,94,lol at the scooby doo reference well im right here so suzaku is cool again o
Finally found a beautiful shoebox ,positive,34,finally found a beautiful shoebox
@DawnRichard -- ma buddi boi @JusJey is dying over here! Lol. PLEASE say hi! He &amp; I would smile about it! ,positive,110,ma buddi boi is dying over here lol please say hi he amp i would smile about it
Mmm coffee ,positive,11,mmm coffee
yay its raining  !! ! raining = movies ! movies = food !!  ,positive,59,yay its raining raining movies movies food
"Its Tuesday morning, and I am actually reading &amp; working, such a strange feeling it is ",positive,91,its tuesday morning and i am actually reading amp working such a strange feeling it is
"&gt;&gt;_&lt;&lt; Finally, plans for this beautiful saturday! ",positive,62,gtgtltlt finally plans for this beautiful saturday
taking care of my chipmunk ,negative,27,taking care of my chipmunk
Local sprint store is expecting a long line for Palm Pre launch. Was hoping people around here were out of the loop ,negative,116,local sprint store is expecting a long line for palm pre launch was hoping people around here were out of the loop
Salut les twitteriens ,positive,22,salut les twitteriens
"@dougmiestergen Someone should tell the boys that!!  Anyone going to Wolves?,  if you meet the boys ask them to tweet onstage at reading!!",positive,138,someone should tell the boys that anyone going to wolves if you meet the boys ask them to tweet onstage at reading
Gettin ready to head back aint no place like home ,positive,50,gettin ready to head back aint no place like home
is doing her nails ,positive,19,is doing her nails
not in a good mood... maybe i should take a rest... forget everything happens today.... ,negative,88,not in a good mood maybe i should take a rest forget everything happens today
Thank you to all of our new followers!  We're honored to have you!  ,positive,68,thank you to all of our new followers were honored to have you
Yay! Today appears to be a relatively happy day.  Shine on darling summer!  ,positive,76,yay today appears to be a relatively happy day shine on darling summer
@phylicia2214 ur too funni!!!! I would totally cook for you but ur not here ,negative,76,ur too funni i would totally cook for you but ur not here
&quot;la la la la la Jon Knight&quot; finally got the ipod fixed ,positive,65,quotla la la la la jon knightquot finally got the ipod fixed
"@eyzrbrn it's ok babe, spreading the word ",positive,42,its ok babe spreading the word
@ashattack2 http://twitpic.com/6e5q5 - hahaha MACCAS ,positive,53,hahaha maccas
@BigCatJared   What did I do to you!  sheesh ,negative,45,what did i do to you sheesh
lord Ike likes Easter too ,positive,26,lord ike likes easter too
@Krftd It's more of the artistic finds that I come across. Twitter gets info and not much art in my stream. So... i figured a way  Thx!,positive,135,its more of the artistic finds that i come across twitter gets info and not much art in my stream so i figured a way thx
"@freaksoldier  It would be just for his own good  You know, I would like to protect him from all the teens  He is so defenceless)",positive,129,it would be just for his own good you know i would like to protect him from all the teens he is so defenceless
"Well, now I offically know how to put the chain back on my bike.  10 minute 'penalty' at the tri!  ",negative,99,well now i offically know how to put the chain back on my bike minute penalty at the tri
I have no idea how I'm going to improve my practicing....I am so lazy ,negative,70,i have no idea how im going to improve my practicingi am so lazy
is *ugh* what a miserable looking day. 54 degrees. Where did summer go? ,negative,72,is ugh what a miserable looking day degrees where did summer go
Up and ready to ROCK this wedding today with @darrinwassom!! So happy about the nice weather  2009 wedding season is officially here!,positive,133,up and ready to rock this wedding today with so happy about the nice weather wedding season is officially here
@clarissasays i haven't gotten any since 4:00am yesterday.    i'm pretty mad.  and i haven't gotten yours at all either..  ,negative,123,i havent gotten any since am yesterday im pretty mad and i havent gotten yours at all either
@beantownblond Hi Girl  So you are having a birthday today? I hope you have a wonderful time! Wish you all the bests!,positive,117,hi girl so you are having a birthday today i hope you have a wonderful time wish you all the bests
@lunaraven13 Hah! Not yet!  Hopefully my cats aren't driving him crazy! ,positive,72,hah not yet hopefully my cats arent driving him crazy
FOREX TRADE GOLD OIL Currency Trading at its finest  Easiest platform available http://tinyurl.com/qjjp96,positive,105,forex trade gold oil currency trading at its finest easiest platform available
@erica0921 that's wassup!! I got ur tamales mama! ,positive,50,thats wassup i got ur tamales mama
@akkiraju you should send these to TOI ,positive,39,you should send these to toi
William Shatner! No way! ,positive,25,william shatner no way
"but then again, i'm too lazy to do that..... ",negative,45,but then again im too lazy to do that
"@mustpanter oot, las ma kontrollin... elus jah  i have this feeling inside of me, not sure if this is love?!? no, it's hangover indeed.",positive,135,oot las ma kontrollin elus jah i have this feeling inside of me not sure if this is love no its hangover indeed
Life is Good....I Can't Complain! Like Woah!! ,positive,46,life is goodi cant complain like woah
"tonight = new cat, gh: metallica, weeds s05e02 and my mediabox. ",positive,64,tonight new cat gh metallica weeds se and my mediabox
Alesha's looking fiine today. Shame she's probably not gonna do the opening ceremony ,negative,85,aleshas looking fiine today shame shes probably not gonna do the opening ceremony
@ princesssuperc: helloooo... was at briteny's concert last night and saw you so addded you on here  hopefully speak soon byeeeeee,positive,130,princesssuperc helloooo was at britenys concert last night and saw you so addded you on here hopefully speak soon byeeeeee
Gf will be home in a couple of minutes (yay!)  so I'm off  See you tomorrow morning tweeple! After that it's gonna be monday ,negative,125,gf will be home in a couple of minutes yay so im off see you tomorrow morning tweeple after that its gonna be monday
Brief wheels down in Baltimore. En route to Louisville. Wayyyy back of the plane. ,negative,82,brief wheels down in baltimore en route to louisville wayyyy back of the plane
Just woke up. Pink diamonds from 1-4 then birthday sex from 5-9. My head is killin me  but it was so worth it!!!,negative,112,just woke up pink diamonds from then birthday sex from my head is killin me but it was so worth it
"bored , i wish Lakers was playin ",negative,33,bored i wish lakers was playin
Last night was no bueno! So sick today! ,negative,40,last night was no bueno so sick today
@andrevr Glad you liked it. Thanks for the compliments ,positive,55,glad you liked it thanks for the compliments
"@vickytcobra Yo, mad awesome video.    How many people did you get who didn't like it or who denied filming?",positive,108,yo mad awesome video how many people did you get who didnt like it or who denied filming
"Well.. school is waiting, have to go ! ",negative,39,well school is waiting have to go
"Today's Dr. Phil is really making me distrust guys. I know there are some great guys out there, but they're never on TV talk shows. ",negative,132,todays dr phil is really making me distrust guys i know there are some great guys out there but theyre never on tv talk shows
@iamJoanlee ill be there ol stompin grounds dont act hollyhood on me u kno i miss u too ,positive,88,ill be there ol stompin grounds dont act hollyhood on me u kno i miss u too
Retaking permit test ,negative,21,retaking permit test
"i love #lastfm - anyone who's got it, my username's richardsonmatt. add me ",positive,75,i love lastfm anyone whos got it my usernames richardsonmatt add me
Poor lil &quot;race car&quot; bed. Where's a &quot;pit crew&quot; when I need it cause I guess I couldn't fix it ,negative,113,poor lil quotrace carquot bed wheres a quotpit crewquot when i need it cause i guess i couldnt fix it
Check out my Bubble tweet and get informed by me in a short 30 second clip  http://ow.ly/80Bt,positive,93,check out my bubble tweet and get informed by me in a short second clip
Must resist urge to go Omni... If I go I'm just going to end up gorging myself on a Spicy Italian in Subway and a Monkey Business in Zumo ,negative,138,must resist urge to go omni if i go im just going to end up gorging myself on a spicy italian in subway and a monkey business in zumo
@ChristopherKohn ich sag nur halb vier! HAHA  have a greatl day yourself!,positive,73,ich sag nur halb vier haha have a greatl day yourself
