text,sentiment,text_length,clean_text
@GodFirst08 you got the email! yaay! I'm gonna be leaving in 20mins. ,negative,69,you got the email yaay im gonna be leaving in mins
thinks twitter is GAY!!  http://twurl.nl/vzk1hv,positive,47,thinks twitter is gay
@Char_SOS i been listening to it all morning ,negative,45,i been listening to it all morning
I'm watching my son play in his kiddie pool outside and he is such a ham!  ,positive,75,im watching my son play in his kiddie pool outside and he is such a ham
@xxBeckeh so is alone with the sun rise. ,positive,41,so is alone with the sun rise
I got my baby girl back! ,positive,25,i got my baby girl back
http://is.gd/RvTw &amp; http://is.gd/RvVe Two New Photos from yesterdays commute ,positive,81,amp two new photos from yesterdays commute
@xBarrettx Lol  its true if im related to you its just going to happen lol.,positive,75,lol its true if im related to you its just going to happen lol
brunch at Alchemy w. @miss_pamela and now yummy frozen margaritas @ Havana Outpost! amazing day outside ,positive,104,brunch at alchemy w and now yummy frozen margaritas havana outpost amazing day outside
What a ugly day! @ home relaxing gotta work tomorrow ,negative,53,what a ugly day home relaxing gotta work tomorrow
conference calls all morning... yay  ,negative,37,conference calls all morning yay
@mariiaegold  bitch Have a Seat Never Will Ashanti Be Wack. U need to worry about that Wack ass weave u rocking ,positive,112,bitch have a seat never will ashanti be wack u need to worry about that wack ass weave u rocking
is gonna go enjoy the sun and work on my tan ,positive,45,is gonna go enjoy the sun and work on my tan
ouchhhhh... not good when you bite your tongue bar !!!!!! ,negative,58,ouchhhhh not good when you bite your tongue bar
Currently using Maxis broadband at Alor Setar.. quite good cooverage here back to Alor Setar..  cool !,positive,102,currently using maxis broadband at alor setar quite good cooverage here back to alor setar cool
missing my girls ,negative,17,missing my girls
@madlawstudent yes - just seen some clients now about to work on some proposals but feelin bit f***ed off today ,negative,112,yes just seen some clients now about to work on some proposals but feelin bit fed off today
"#chesterday i thought everyday was chesterday,  oh no wait, thats just in my head. lol well it should b everyday ",positive,113,chesterday i thought everyday was chesterday oh no wait thats just in my head lol well it should b everyday
"hey, it's Trace here... Just updating Morgan's Twitter because she never does! The end ",positive,87,hey its trace here just updating morgans twitter because she never does the end
@k_ham sneesh! The noises ure making over there haha sorry. ,negative,60,sneesh the noises ure making over there haha sorry
"@Xaan Thanks! Sorry kinda slow, writing again. ",positive,47,thanks sorry kinda slow writing again
"Hello beautiful ones and happy friday! I hope you all have a lovely day! I'm looking forward to the weekend, spending it with my sweetie! ",positive,138,hello beautiful ones and happy friday i hope you all have a lovely day im looking forward to the weekend spending it with my sweetie
"Hateedddd awards afternoon, and want the sun back ",negative,50,hateedddd awards afternoon and want the sun back
Putting aside my work to go sit in the garden of The Grove. The last time I can truly be lazy for many weeks.  ,negative,111,putting aside my work to go sit in the garden of the grove the last time i can truly be lazy for many weeks
@Shinybiscuit but my own name on Twitter is really boring ,negative,58,but my own name on twitter is really boring
@VickyCheng that's my best attempt at a teacher voice ,positive,54,thats my best attempt at a teacher voice
http://twitpic.com/5dars - cute..too bad i left my shades at ihop ,negative,66,cutetoo bad i left my shades at ihop
Up too late...long day 2morrow! Took the first step tonight and trusting God to lead and show the way. Its a start....one day at a time. ,positive,137,up too latelong day morrow took the first step tonight and trusting god to lead and show the way its a startone day at a time
@HeidiCortez  I get that sometimes! Grilled cheese protein style w grilled onions..although the grilled cheese tastes much better w bread ,negative,138,i get that sometimes grilled cheese protein style w grilled onionsalthough the grilled cheese tastes much better w bread
i definitely a geek-skipping the pool for... E3 Live!  http://tinyurl.com/77nnw4,positive,80,i definitely a geekskipping the pool for e live
"@secondcitysoul if i was him, an ice-cream would cheer me up. #99flake   ",positive,73,if i was him an icecream would cheer me up flake
Still without power. Electricity  has been off since Friday.  ,negative,62,still without power electricity has been off since friday
@MsLadyLyricist i dont see the link!! ,negative,38,i dont see the link
"@RanMan71 Yeah, we finally got a little. ",positive,41,yeah we finally got a little
"Good morning. I should still be sleeping in, but I feel like crap and can't get back to sleep...My throat is killing me ",negative,120,good morning i should still be sleeping in but i feel like crap and cant get back to sleepmy throat is killing me
Goodnight all! ,positive,15,goodnight all
Barbeque with some friends ,positive,27,barbeque with some friends
&quot;I thought it was funny officer....&quot; ,negative,47,quoti thought it was funny officerquot
Just reclaimed some resources on outdated client laptop by stopping un-needed services and setting them to &quot;Manual&quot; ,positive,126,just reclaimed some resources on outdated client laptop by stopping unneeded services and setting them to quotmanualquot
" but idk, he like doesn't even want to be my friend,? Cause i'm trippin? Idk. It's his fault. And i can't handle it. Ughh. I Wanna Move!",negative,136,but idk he like doesnt even want to be my friend cause im trippin idk its his fault and i cant handle it ughh i wanna move
monday morning  not even sunshine,negative,33,monday morning not even sunshine
I have load! But no battery. lol  this sucks hard!,negative,50,i have load but no battery lol this sucks hard
@xxgisellexx omggg i wud be the happiest girlll! lol im goin crazyy withoutt itttt! lovee youu ,positive,95,omggg i wud be the happiest girlll lol im goin crazyy withoutt itttt lovee youu
180 kms of city driving can easily make you go insane...and stay there for a couple of days ,negative,92,kms of city driving can easily make you go insaneand stay there for a couple of days
I can't stand men sometimes... ,negative,31,i cant stand men sometimes
@swams0904 yU CAN HAVE MiNE . iT COMESz WiT bLOAtEdNESSz ANd A bElly RiNG FOR SHOW  . . O NO WAiT . dATSz MY tUMMy NOt MY StOMACh . W/E,positive,135,yu can have mine it comesz wit bloatednessz and a belly ring for show o no wait datsz my tummy not my stomach we
@tommcfly OH GREAT AND IM ABOUT TO THROW UP CUZ YOU WONT TWEET ME!!!! ,negative,70,oh great and im about to throw up cuz you wont tweet me
@Callan_massacre you were supposed to put IT'S MILEY ,negative,53,you were supposed to put its miley
A sad day for British politics ,negative,31,a sad day for british politics
@cynbaby Can't fix reviews until I get home/have electricity. Work = &quot;porn&quot; filter. ,negative,94,cant fix reviews until i get homehave electricity work quotpornquot filter
Some girls just baffle me! No wonder I have mainly guy friends ,positive,63,some girls just baffle me no wonder i have mainly guy friends
Sooo hungry. This fasting crap is driving me nuts. ,negative,51,sooo hungry this fasting crap is driving me nuts
I haven't heard this in agesss: http://bit.ly/bgSUP  good times ,positive,64,i havent heard this in agesss good times
@ddlovato why you  for,negative,22,why you for
Last meeting of the semester is this week! ,negative,43,last meeting of the semester is this week
"yes, im finished! and now i get to put my contacts in! and its so nice outside!!! going to the zoo maybe.. ",positive,107,yes im finished and now i get to put my contacts in and its so nice outside going to the zoo maybe
@marviemorales How can we watch Metro Station in TriNoma? ,positive,58,how can we watch metro station in trinoma
"@ Chriistiinee I did, just to see your pretty face...and to score some discount couture ",positive,88,chriistiinee i did just to see your pretty faceand to score some discount couture
"All my siblings are going out. 2 are out for Bball, 2 are out for party. and left their sister at home.  oh well, hit the book!",negative,127,all my siblings are going out are out for bball are out for party and left their sister at home oh well hit the book
my horrid math teacher gave us xtra homework... ,negative,48,my horrid math teacher gave us xtra homework
"@_hannahmitchell  i slept all day, as fun as that sounds it's not good with a head ache",negative,87,i slept all day as fun as that sounds its not good with a head ache
"@brianwelburn Good Morning my Lord  I have to, I am Cinderella today!!!! xx",positive,75,good morning my lord i have to i am cinderella today xx
"@mijavera yes! *excited* 8D/ I've never had one before and everyone else does, I feel so left out  lol",negative,102,yes excited d ive never had one before and everyone else does i feel so left out lol
Hahahahaha your dirty lmao and i got sunburn ,negative,45,hahahahaha your dirty lmao and i got sunburn
Morning ;) My back is killing me! I don't know why :/ Sleeping on bleachers yesterday? idk..but I can moveeee ,negative,110,morning my back is killing me i dont know why sleeping on bleachers yesterday idkbut i can moveeee
@Prepare4_Org 2006 Intl Fire Code section 404.2 lists occupancies that require Fire Safety &amp; Emergency Evacuation Plans also - ,positive,131,intl fire code section lists occupancies that require fire safety amp emergency evacuation plans also
is off work today! still not feeling very well! ,negative,48,is off work today still not feeling very well
@darcydotcom i like ur bg! i salute ur swedish pride!! HA! now im off for a swedish run!!!!oh and get ready for x-country training... joy ,negative,138,i like ur bg i salute ur swedish pride ha now im off for a swedish runoh and get ready for xcountry training joy
@lynseyy i think it's indian food ,negative,34,i think its indian food
@HiveMindMovie and Miss Fizzy Duck loves Hive Mind too ,positive,55,and miss fizzy duck loves hive mind too
I'm extremely hungry.... and the only thing I have in my house is Soup...  I don't like soup... *pouts*,negative,103,im extremely hungry and the only thing i have in my house is soup i dont like soup pouts
"um just want to say IOWA is the best! Best: State Fair, Art Fair, 20k Dam to Dam, 2nd best BBQ in USA, nice ppl ",positive,112,um just want to say iowa is the best best state fair art fair k dam to dam nd best bbq in usa nice ppl
I friggin stink of booze n smoke -- aarghhh oh my clean sheets  x,negative,65,i friggin stink of booze n smoke aarghhh oh my clean sheets x
Total network outage at work = work not getting done anywhere.  Ugh,negative,67,total network outage at work work not getting done anywhere ugh
Hot day ,positive,8,hot day
@michaelfortney .. I'm off the 76 and old grove road... can you come?  ,positive,71,im off the and old grove road can you come
"@S0nicbob thank you, it was most tasty ",positive,39,thank you it was most tasty
"I'm laid in bed. Not sleeping  I know why. Hello iPhone games, don't let me down.",negative,81,im laid in bed not sleeping i know why hello iphone games dont let me down
"@bannedagain it will be EU versions for WOW, WH and LOTR ",negative,57,it will be eu versions for wow wh and lotr
wants to go to CF Camp so sooooo badly. ,negative,40,wants to go to cf camp so sooooo badly
Twitter? I've been texting the wrong number lately Haha. Hmm semi excited for the dance now that i have everything minus shoes ,negative,127,twitter ive been texting the wrong number lately haha hmm semi excited for the dance now that i have everything minus shoes
@ernmander hope it goes well  as @lostgirl66 said (I think..) dream dangerously (but she spelt it correctly),positive,108,hope it goes well as said i think dream dangerously but she spelt it correctly
"@oniwolf Back when I played, it was hard finding a good, working machine. Just no alternatives, so we couldn't play anymore ",negative,124,back when i played it was hard finding a good working machine just no alternatives so we couldnt play anymore
@Quirky_Kwallen Right. She could have at least given a more plausible excuse. ,positive,78,right she could have at least given a more plausible excuse
Flippin' Awesome! Apple gets Pwned at their own store   http://is.gd/Qut8,positive,73,flippin awesome apple gets pwned at their own store
Going to the dentist ,negative,21,going to the dentist
@ErEf Yay for Chuck!  Half boo for Sarah Connor's death ,positive,56,yay for chuck half boo for sarah connors death
@crosswalk_com.......A heavy project indeed. You're welcome ,positive,60,a heavy project indeed youre welcome
In my brand new house now. No internet for now ,negative,47,in my brand new house now no internet for now
Its fixed! Haha  thank you @Lindz__Marie ,positive,41,its fixed haha thank you
Just missed the bus  holy hell is it hot out here.,negative,50,just missed the bus holy hell is it hot out here
"@crazymeezer yay, i am back on the top 100 australian women bloggers list  http://bit.ly/fAVaT",positive,94,yay i am back on the top australian women bloggers list
@jordanknight the link doen't work...  actually the website did not work... couldn't do it ,negative,91,the link doent work actually the website did not work couldnt do it
headache ,negative,9,headache
I'm feeling bored because that person's asleep already and I have no one to text. ,negative,82,im feeling bored because that persons asleep already and i have no one to text
More #GuiltyPleasure thanks to @womensradio @suzlortie for sharing their Guilty pleasures  What's yours?,positive,104,more guiltypleasure thanks to for sharing their guilty pleasures whats yours
@mattchristopher Great!  Try to get some sleep or .... Better Yet .... You could go get me a Mountain Dew  JK,positive,109,great try to get some sleep or better yet you could go get me a mountain dew jk
 see yas later mommy :p,negative,23,see yas later mommy p
hey guys im taking a bath come over if you wanna..................................learn about WATER DISPLACEMENT! haha  GOTTCHA!,positive,128,hey guys im taking a bath come over if you wannalearn about water displacement haha gottcha
"Aww man I love my niece, she fallin asleep while eatin n same time smashed it clean lol...KO'd ",positive,95,aww man i love my niece she fallin asleep while eatin n same time smashed it clean lolkod
I am finding that large spider bites on the inside of the thigh are very painful.  It also doesn't help that I am allergic to spiders ,negative,134,i am finding that large spider bites on the inside of the thigh are very painful it also doesnt help that i am allergic to spiders
I just noticed how shitty the cutting is in The Nanny. It's so obvious when a joke or scene has been cut out.  Boo.,negative,115,i just noticed how shitty the cutting is in the nanny its so obvious when a joke or scene has been cut out boo
"Im really enjoying this weather, partially rainy and sunny ",positive,59,im really enjoying this weather partially rainy and sunny
"@nickzamonis lol, thanks ",positive,25,lol thanks
@fluBALLOW TY for postin my tweet earlier. (: / HOME btw. leeds was crap ,negative,73,ty for postin my tweet earlier home btw leeds was crap
says yey! pedicure  http://plurk.com/p/oyh2z,positive,44,says yey pedicure
@ralphcochrane Lovely mate ... now wakle up it's time for work  ,positive,64,lovely mate now wakle up its time for work
Off to NZ on a public holiday. The first lounge has it's advantages mind you..  ,positive,80,off to nz on a public holiday the first lounge has its advantages mind you
@knitch I are out of alkamahol. ,negative,32,i are out of alkamahol
On my Way home from canal.  anybody wanna chill tonight?,negative,56,on my way home from canal anybody wanna chill tonight
Back to coding ,negative,15,back to coding
on my way to seven with everyone for phanny's going away! ,negative,58,on my way to seven with everyone for phannys going away
Would much like to be at E3 next week and not doing exams ,negative,58,would much like to be at e next week and not doing exams
Sisterhood of the traveling pants ,positive,34,sisterhood of the traveling pants
Both movies tonight were pretty bad  lol they were the two I said I wasnt going to watch too.,negative,93,both movies tonight were pretty bad lol they were the two i said i wasnt going to watch too
Not goin to work today I got blisters from my sunburn and it's on my sholders can't put any pressure on it ,negative,107,not goin to work today i got blisters from my sunburn and its on my sholders cant put any pressure on it
jus heard tupac's 'changes' nd i started crying ,negative,48,jus heard tupacs changes nd i started crying
"@franmoore22 that's sad, I liked you heaps  family comes first though ",negative,70,thats sad i liked you heaps family comes first though
@Keyonce89 im tryna get a job up there but u make it seem miserable ,positive,68,im tryna get a job up there but u make it seem miserable
@AndrewBiddinger Thanks! ,positive,25,thanks
Feel awful I just realized I was supposed to do something with a friend tonight!   Sorry A...,negative,93,feel awful i just realized i was supposed to do something with a friend tonight sorry a
So tired now. Bum hurts after flat tyre bike riding  I made marzipan fruits that are pretty amazing! And watched come dine with me.,negative,131,so tired now bum hurts after flat tyre bike riding i made marzipan fruits that are pretty amazing and watched come dine with me
@ilaura_etsy well...I go too often!! can't help myself!!  this store always has good quality-and clean stuff!!,positive,110,welli go too often cant help myself this store always has good qualityand clean stuff
@amylong i took my contacts out at the wknd before I got the infection. Last time I checked they dont make dailies 4 my prescrip. ,negative,130,i took my contacts out at the wknd before i got the infection last time i checked they dont make dailies my prescrip
Apparently im not free yet ,negative,27,apparently im not free yet
@trevormendham It's looking like it's me unfortunately ,negative,55,its looking like its me unfortunately
@RyanSeacrest night ,positive,20,night
"Oh dear,  John has overtaken both haha and  on my top words for twitter. John's now third after xD and xP Halp please? ",negative,119,oh dear john has overtaken both haha and on my top words for twitter johns now third after xd and xp halp please
@godfatherobie @chods70 I have the worlds oldest motion controller. It's called my Mum. She used to make drag the hoover 'round the house ,negative,138,i have the worlds oldest motion controller its called my mum she used to make drag the hoover round the house
just ordered a cute purple mini dell notebook! ,positive,47,just ordered a cute purple mini dell notebook
i am eating healthy corn ,positive,25,i am eating healthy corn
Listening to Taylor Swift and cleaning my room. ,positive,48,listening to taylor swift and cleaning my room
@timboreader great thanks! Shopping successful  Off to Spitalfields market today then to Ha Ha Hammersmith this evening...,positive,122,great thanks shopping successful off to spitalfields market today then to ha ha hammersmith this evening
"I'm in ICT with the a half massive haha, connor is getting twitter woop ",positive,72,im in ict with the a half massive haha connor is getting twitter woop
watched a movie..it was grt en hilarious..lol..anywayz gonna finish up wid my school work.. ,positive,92,watched a movieit was grt en hilariouslolanywayz gonna finish up wid my school work
omgzzz. finally got computer back but it wont let me download music  . .depressing..,negative,84,omgzzz finally got computer back but it wont let me download music depressing
#dontyouhate the BNP? i know i do ,negative,34,dontyouhate the bnp i know i do
@matt_neale There's nothing you can say about that surname that hasn't been said a million times before (mainly by me!)  So do your worst,positive,137,theres nothing you can say about that surname that hasnt been said a million times before mainly by me so do your worst
"@mrsellars Happy Papa's Day, Murv!  I hope you're feeling better.  I'm off to the hospital for rounds. ",negative,103,happy papas day murv i hope youre feeling better im off to the hospital for rounds
@mileycyrus haha aww . sofie is the cutest dog ever ,positive,52,haha aww sofie is the cutest dog ever
@kristeljohnson psh you make him happy ,positive,39,psh you make him happy
"Energy steadily increasing, thankfully, but the cough isn't going away. ",negative,72,energy steadily increasing thankfully but the cough isnt going away
qwirufhaslfiuhaslgiuarw I WANT LVATT! ,negative,38,qwirufhaslfiuhaslgiuarw i want lvatt
@youslippin thanks boo ,positive,23,thanks boo
"@kev_watson Ah, Kev, I didn't think to look in the rarefied strata of the linguistic theory. That'll learn me to look carefully at posts! ",positive,138,ah kev i didnt think to look in the rarefied strata of the linguistic theory thatll learn me to look carefully at posts
Driving home from Chicago. ,positive,27,driving home from chicago
off to school now!  Have a great day everyone! ,positive,47,off to school now have a great day everyone
now has a little fever and so does The Boy. Sorry ahead of time for anyone we infected today. ,negative,94,now has a little fever and so does the boy sorry ahead of time for anyone we infected today
"Forced myself out of bed this morning, but failed to cycle in. Damn. ",negative,69,forced myself out of bed this morning but failed to cycle in damn
@HawaiiRealty Maybe just a little ,positive,34,maybe just a little
@misciel Why wouldn't you yell such an amazing phrase! ,positive,55,why wouldnt you yell such an amazing phrase
@stellamoretti hahaha yeah come and get me  were going for two weeks next year Villa style for my mates birthday....going to be yummmy xxx,positive,138,hahaha yeah come and get me were going for two weeks next year villa style for my mates birthdaygoing to be yummmy xxx
http://twitpic.com/55d3p - for those not so tweet days ,positive,55,for those not so tweet days
@bernadetteolsen haha i don't know why the season was so short ,negative,63,haha i dont know why the season was so short
Just doing some revision for my Italian exams on monday. Realising how little I actually know ,negative,94,just doing some revision for my italian exams on monday realising how little i actually know
is wishing more people where following him ,negative,43,is wishing more people where following him
Brian just brought me in some honeysuckles... so sweet ,positive,55,brian just brought me in some honeysuckles so sweet
I have the worst hang over ,negative,27,i have the worst hang over
You know your life is fairly pathetic when Saturday night often revolves around watching 'Groomer Has It&quot; on Animal Planet. ,negative,129,you know your life is fairly pathetic when saturday night often revolves around watching groomer has itquot on animal planet
"@ThomasCastillo I ? where you stand on issues in Illinois! You have my vote in 2010.  &amp; YES, we desperately need change in the Guv office!",positive,142,i where you stand on issues in illinois you have my vote in amp yes we desperately need change in the guv office
sounds like im losing my voice ,negative,31,sounds like im losing my voice
"Art Center assignment due in two weeks, Im feeling great about this one. But I can't find a decent printing shop here in LA ",negative,124,art center assignment due in two weeks im feeling great about this one but i cant find a decent printing shop here in la
@yelyahwilliams haha Hayley.. I love the new pic...  New songs? Can't wait!!,positive,76,haha hayley i love the new pic new songs cant wait
Aw! The weather is somehow affecting my mood. ,negative,46,aw the weather is somehow affecting my mood
is revising ,negative,12,is revising
Kinda sad to know that Jessica won't be on the show tonight ,negative,60,kinda sad to know that jessica wont be on the show tonight
@justin_rock har har ,positive,21,har har
SO rad that Maya was asleep by 9pm. ,positive,36,so rad that maya was asleep by pm
eye think eye'm crushing... ,negative,28,eye think eyem crushing
Honestly...Out of everyone I have... I want Darryl back the most ,negative,65,honestlyout of everyone i have i want darryl back the most
Muuuhhhhaaaahahha- Just got 666 post on Gamespot message boards  .,positive,66,muuuhhhhaaaahahha just got post on gamespot message boards
"argh... server is down, well not according to the server status on hosting providers site... ",negative,93,argh server is down well not according to the server status on hosting providers site
@lebrouillac  the birds ate all ours yesterday ,negative,47,the birds ate all ours yesterday
Two major blasts from the past peeps today on Twitter and Facebook. Fun. ,positive,73,two major blasts from the past peeps today on twitter and facebook fun
@SianLindemann Bravo! It was one of those tweets that floated by and I got distracted before I could respond ,positive,109,bravo it was one of those tweets that floated by and i got distracted before i could respond
well - that's it - it's morning already... Can't believe that it's still only Thursday though ,negative,94,well thats it its morning already cant believe that its still only thursday though
@lawrencekent  going to chitown?,positive,32,going to chitown
I cleaned out my followers. I was slightly sad to find out that 6 were just spam accounts. ,negative,91,i cleaned out my followers i was slightly sad to find out that were just spam accounts
made it back to town safely ,positive,28,made it back to town safely
Exams are so stressful ,negative,23,exams are so stressful
Its raining in jacksonville again ,negative,34,its raining in jacksonville again
Good morning my twitter darlings. The sun made a brief cameo this morning and had me hyped then ran back into hiding  time for breakfast,negative,136,good morning my twitter darlings the sun made a brief cameo this morning and had me hyped then ran back into hiding time for breakfast
@mandarosemusic  ohhh i just got that  lol,positive,42,ohhh i just got that lol
@dunchinson I am lost. Please help me find a good home. ,negative,56,i am lost please help me find a good home
@k_farbs Happy early birthday Kel! Sorry you have a final on your bday ,negative,71,happy early birthday kel sorry you have a final on your bday
"I woke up thinking of strawberry lips, but I don't remember any of my dreams   was probably too drunk!",negative,102,i woke up thinking of strawberry lips but i dont remember any of my dreams was probably too drunk
@marcos_clark: you baby says your welcome! Its all about me and mommy ,positive,70,you baby says your welcome its all about me and mommy
"owww, my head kills. ",negative,21,o my head kills
"night in tonight - takeaway, laptop, hannah montana the movie ",positive,62,night in tonight takeaway laptop hannah montana the movie
@RealHughJackman have a nice trip ,positive,34,have a nice trip
@goddessgreeneye i dont need one of him the Seth in new moon is no comparison  only cute one in movie is Jacob,negative,110,i dont need one of him the seth in new moon is no comparison only cute one in movie is jacob
"copy editing while eating &quot;good &amp; fruitty&quot; candy, reading e-mails, thinking about magic winning tomorrow night ",positive,125,copy editing while eating quotgood amp fruittyquot candy reading emails thinking about magic winning tomorrow night
@vjk2005 5 more levels! okay. my defense sum cant be strong.  demo ganbari masu! no plan to come back?,negative,102,more levels okay my defense sum cant be strong demo ganbari masu no plan to come back
"@discho Yeah, I just have to go in later for the exam. Although I slightly resent missing out on a couple of hours of valuable sleep ",negative,133,yeah i just have to go in later for the exam although i slightly resent missing out on a couple of hours of valuable sleep
"@rachelreuben Wow, I just made probably my longest comment ever on a blog! Thanks for tweeting! ",positive,96,wow i just made probably my longest comment ever on a blog thanks for tweeting
" i do not feel good today, Goodmorning..",negative,40,i do not feel good today goodmorning
@colinsato @dkmashino Yummy... did someone say capers! ,positive,55,yummy did someone say capers
hanging out at the casa...i refused to help vaccinate the goats this weekend. ,positive,78,hanging out at the casai refused to help vaccinate the goats this weekend
yea..buh u and dejah going to b clubing and ima have to stay home for a whole year waiting.... ,negative,95,yeabuh u and dejah going to b clubing and ima have to stay home for a whole year waiting
Just finish washin my car..so tired!!wish I can eat chicken wit chilli sauce ,negative,77,just finish washin my carso tiredwish i can eat chicken wit chilli sauce
@mannyneps gratz on auriaya! we're doing her now ,positive,49,gratz on auriaya were doing her now
"@paulmorrisTIM Cheapest copy of Purusha's Divine Androgyne on Amazon, $140. ",negative,76,cheapest copy of purushas divine androgyne on amazon
Working all night ,negative,18,working all night
"@shawnemerriman go to vegas, but don't spend all ur money!!!! ",positive,62,go to vegas but dont spend all ur money
Just sitting here reading my homework.  ,negative,40,just sitting here reading my homework
@ThisismyiQ having dinner w/ my chicas.. ,positive,41,having dinner w my chicas
Trying to update to 3.0 but iTunes won't cooperate!!! ,negative,54,trying to update to but itunes wont cooperate
@TheresaLargusa i eat the strawberrys as they are  i think they are best that way..,positive,83,i eat the strawberrys as they are i think they are best that way
Who stole spring? /me blames @troi ,positive,35,who stole spring me blames
@Gamedigital i agree  all the hype that ive been reading in the OXM the past few months about GB just to be dumped with a 5 month wait ,negative,135,i agree all the hype that ive been reading in the oxm the past few months about gb just to be dumped with a month wait
is already up and getting ready for the road trip.  No job calls so far today ,negative,78,is already up and getting ready for the road trip no job calls so far today
"Great weekend in Baltimore for the Schechman Brekhter wedding! Congrats again, Toly and Rachel! ",positive,96,great weekend in baltimore for the schechman brekhter wedding congrats again toly and rachel
